Disease,Description
Trouble panique,"Le trouble panique est un problème de santé mentale caractérisé par des crises de panique soudaines et inattendues — des périodes intenses de peur ou d'inconfort — souvent accompagnées de symptômes physiques tels que des douleurs thoraciques, des palpitations, un essoufflement ou des vertiges."
Vaginite,"La vaginite est une inflammation des tissus vaginaux, généralement causée par des infections (bactériennes, fongiques ou parasitaires), des déséquilibres hormonaux ou des irritants, entraînant des pertes, des démangeaisons, des douleurs ou des brûlures lors de la miction."
Complication pendant la grossesse,"Les problèmes pendant la grossesse font référence à des complications médicales telles que le diabète gestationnel, la pré-éclampsie ou le retard de croissance fœtale qui peuvent affecter la santé de la mère ou du bébé pendant la gestation."
Pancréatite aiguë,"La pancréatite aiguë est une inflammation soudaine du pancréas qui provoque des douleurs abdominales sévères, des nausées, des vomissements et une élévation des enzymes pancréatiques, souvent due à des calculs biliaires ou à la consommation d'alcool."
Asthme,"L'asthme est une maladie inflammatoire chronique des voies aériennes provoquant des sifflements récurrents, un essoufflement, une oppression thoracique et de la toux, souvent déclenchée par des allergènes, l'exercice ou l'air froid."
Gastro-entérite infectieuse,"La gastro-entérite infectieuse est une infection intestinale causée par des virus, des bactéries ou des parasites, entraînant des symptômes tels que la diarée, des vomissements, des crampes abdominales et de la fièvre."
Sinusite aiguë,"La sinusite aiguë est une inflammation ou infection temporaire des sinus, faisant généralement suite à un rhume, provoquant une congestion nasale, des douleurs faciales, une pression et des maux de tête."
Infection de la cornée,"L'infection de la cornée (kératite) est une infection de la partie transparente située à l'avant de l'œil, généralement causée par des bactéries, des champignons ou des virus, entraînant des douleurs oculaires, des rougeurs, une vision floue et une sensibilité à la lumière."
Abus de cannabis,"L'abus de cannabis désigne la consommation excessive ou nocive de cannabis, pouvant entraîner des troubles cognitifs, une altération du jugement, une dépendance et des problèmes de santé mentale à long terme."
Bursite,"La bursite est l'inflammation des bourses séreuses — de petits sacs remplis de liquide qui amortissent les os et les articulations —, provoquant des douleurs articulaires, un gonflement et une mobilité réduite, souvent suite à des mouvements répétés ou à une pression."
Kératose actinique,"La kératose actinique est une tache rugueuse et squameuse sur la peau causée par une exposition prolongée au soleil, considérée comme une affection précancéreuse pouvant évoluer en carcinome épidermoïde."
Bronchopneumopathie chronique obstructive (BPCO),"La BPCO est un groupe de maladies pulmonaires progressives, incluant l'emphysème et la bronchite chronique, caractérisées par une limitation du débit d'air, de la toux, des sifflements et un essoufflement."
Spondylarthrose,"La spondylarthrose (spondylose) est une affection dégénérative touchant la colonne vertébrale due au vieillissement, entraînant raideur, douleur et mobilité réduite en raison de l'usure des disques vertébraux et des articulations."
Blessure au bras,"Une blessure au bras fait référence à des dommages causés aux muscles, os, ligaments ou à la peau de la zone du bras par un traumatisme, entraînant douleur, gonflement, ecchymoses ou mobilité limitée."
