Disease,Diet
Trouble panique,"['Aliments riches en magnésium (épinards, graines de courge, amandes)', 'Acides gras oméga-3 (saumon, graines de lin, noix)', 'Glucides complexes (flocons d''avoine, quinoa)', 'Thé vert (L-théanine)', 'Limiter la caféine et le sucre']"
Vaginite,"['Probiotiques (yaourt, kéfir, choucroute)', 'Régime pauvre en sucre (éviter les sucreries, sucre transformé)', 'Ail (cru ou cuit)', 'Jus de canneberge (non sucré)', 'Hydratation (eau, tisanes)']"
Complication pendant la grossesse,"['Vitamines prénatales (consulter un médecin)', 'Aliments riches en fer (viande rouge, lentilles, épinards)', 'Aliments riches en folate (légumes verts, céréales enrichies)', 'Calcium et vitamine D (lait, fromage, lait végétal enrichi)', 'Éviter le poisson cru, la charcuterie, les produits laitiers non pasteurisés']"
Pancréatite aiguë,"['Aliments pauvres en matières grasses (légumes bouillis, blanc de poulet maigre)', 'Petits repas fréquents', 'Bouillons et liquides clairs (bouillon de poulet, bouillon de légumes)', 'Éviter l''alcool et la caféine', 'Protéines maigres (tofu, poisson blanc)']"
Asthme,"['Aliments anti-inflammatoires (myrtilles, chou frisé, curcuma)', 'Aliments riches en magnésium (graines de courge, épinards)', 'Oméga-3 (saumon sauvage, graines de chia)', 'Éviter les produits laitiers en cas de sensibilité', 'Aliments riches en vitamine D (jaunes d''œufs, lait enrichi)']"
Gastro-entérite infectieuse,"['Solution de réhydratation orale (SRO)', 'Régime BRAT (bananes, riz, compote de pommes, pain grillé)', 'Soupes claires (soupe de poulet)', 'Éviter les produits laitiers et les aliments gras', 'Probiotiques (yaourt, kéfir)']"
Sinusite aiguë,"['Aliments épicés (piments forts, raifort)', 'Hydratation (eau, tisanes)', 'Aliments riches en vitamine C (oranges, fraises)', 'Thés chauds (gingembre, camomille)', 'Éviter les sucres transformés']"
Infection de la cornée,"['Aliments riches en vitamine A (carottes, patates douces, épinards)', 'Aliments riches en zinc (graines de courge, bœuf)', 'Hydratation (eau)', 'Éviter l''alcool et le tabac', 'Aliments riches en oméga-3 (graines de lin, saumon)']"
Abus de cannabis,"['Hydratation (eau, tisanes)', 'Oméga-3 pour la santé cérébrale (noix, graines de lin)', 'Aliments riches en vitamines B (œufs, volaille, légumes verts)', 'Aliments riches en antioxydants (baies, noix)', 'Limiter les aliments transformés']"
Bursite,"['Aliments anti-inflammatoires (curcuma, gingembre, baies)', 'Acides gras oméga-3 (saumon, graines de chia)', 'Vitamine C (poivrons, agrumes)', 'Hydratation', 'Éviter les aliments transformés et frits']"
Kératose actinique,"['Aliments riches en antioxydants (baies, épinards, noix)', 'Aliments riches en vitamine E (amandes, graines de tournesol)', 'Acides gras oméga-3 (saumon, graines de lin)', 'Thé vert', 'Éviter l''exposition excessive au soleil']"
Bronchopneumopathie chronique obstructive (BPCO),"['Aliments anti-inflammatoires (curcuma, gingembre, baies)', 'Acides gras oméga-3 (saumon sauvage, noix)', 'Aliments riches en protéines (poulet, haricots)', 'Aliments riches en vitamine C (oranges, brocoli)', 'Hydratation']"
Spondylarthrose,"['Aliments riches en calcium (lait, fromage, lait végétal enrichi)', 'Aliments riches en vitamine D (jaune d''œuf, céréales enrichies)', 'Aliments anti-inflammatoires (curcuma, légumes verts)', 'Sources de magnésium (noix, graines)', 'Acides gras oméga-3 (graines de lin, poisson)']"
Blessure au bras,"['Aliments riches en protéines (poulet, œufs, légumineuses)', 'Aliments riches en vitamine C (agrumes, fraises)', 'Sources de zinc (bœuf, graines de courge)', 'Hydratation', 'Aliments anti-inflammatoires (curcuma, gingembre)']"
Syndrome douloureux régional complexe,"['Aliments anti-inflammatoires (curcuma, baies, légumes verts)', 'Acides gras oméga-3 (saumon, noix)', 'Aliments riches en magnésium (épinards, amandes)', 'Aliments riches en vitamine D (lait enrichi, jaunes d''œufs)', 'Éviter les sucres transformés et l''alcool']"
Blessure au torse,"['Aliments riches en protéines (tofu, viandes maigres)', 'Aliments riches en vitamine C (poivrons, kiwi)', 'Sources de zinc (fruits de mer, noix)', 'Hydratation', 'Épices anti-inflammatoires (gingembre, curcuma)']"
Vulvodynie,"['Aliments anti-inflammatoires (myrtilles, légumes verts)', 'Probiotiques (yaourt, kimchi)', 'Acides gras oméga-3 (graines de lin, saumon)', 'Aliments riches en vitamine E (noix, graines)', 'Éviter les irritants et les aliments transformés']"
Commotion cérébrale,"['Acides gras oméga-3 (graines de chia, saumon)', 'Aliments riches en antioxydants (myrtilles, chocolat noir)', 'Aliments riches en protéines (œufs, poulet)', 'Hydratation', 'Vitamines B (céréales complètes, légumes verts)']"
Hypoglycémie,"['Glucides complexes (céréales complètes, légumineuses)', 'Protéines à chaque repas (œufs, noix)', 'Éviter les snacks sucrés', 'Petits repas fréquents', 'Aliments riches en fibres (légumes, fruits)']"
Hernie hiatale,"['Petits repas fréquents', 'Éviter les aliments épicés et la caféine', 'Aliments riches en fibres (flocons d''avoine, légumes)', 'Protéines maigres (poulet, poisson)', 'Éviter les aliments gras et frits']"
