Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Trouble panique,Pratiquer la respiration profonde,Éviter la caféine,Suivre le plan thérapeutique,Rechercher le soutien de ses proches
Vaginite,Porter des sous-vêtements en coton respirants,Éviter les douches vaginales,Maintenir une bonne hygiène génitale,Éviter les produits d'hygiène parfumés
Complication pendant la grossesse,Assister aux visites prénatales régulières,Éviter l'alcool et le tabac,Avoir une alimentation équilibrée,Se reposer adéquatement
Pancréatite aiguë,Éviter l'alcool,Avoir un régime pauvre en graisses,Rester hydraté,Suivre strictement les conseils du médecin
Asthme,Éviter les déclencheurs connus,Utiliser l'inhalateur prescrit,Surveiller le débit expiratoire de pointe,Garder l'inhalateur d'urgence à portée de main
Gastro-entérite infectieuse,Se laver les mains fréquemment,Éviter de partager les ustensiles,Boire de l'eau propre,Éviter la nourriture de rue
Sinusite aiguë,Utiliser un spray nasal salin,Rester hydraté,Éviter les allergènes,Appliquer des compresses chaudes
Infection de la cornée,Éviter de se toucher les yeux,Utiliser les collyres prescrits,Porter des lunettes de soleil,Ne pas partager ses serviettes ou cosmétiques
Abus de cannabis,Éviter la pression des pairs,Chercher des conseils,Développer de saines habitudes,Éviter les environnements déclencheurs
Bursite,Mettre l'articulation touchée au repos,Appliquer des poches de glace,Utiliser un soutien articulaire,Éviter les efforts répétés
Kératose actinique,Éviter l'exposition au soleil,Utiliser une crème solaire à large spectre,Porter des vêtements de protection,Consulter un dermatologue régulièrement
Bronchopneumopathie chronique obstructive (BPCO),Éviter de fumer,Utiliser les inhalateurs prescrits,S'éloigner de la pollution de l'air,Se faire vacciner contre la grippe
Spondylarthrose,Maintenir une bonne posture,Faire de l'exercice régulièrement,Utiliser des chaises ergonomiques,Éviter de porter des objets lourds
Blessure au bras,Immobiliser le bras,Appliquer une compresse froide,Surélever le bras,Consulter un médecin en cas de gonflement
Syndrome douloureux régional complexe,Suivre une kinésithérapie,Gérer le stress,Prendre les médicaments prescrits,Éviter les blessures sur le membre touché
Blessure au torse,Appliquer de la glace ou de la chaleur,Se reposer adéquatement,Utiliser des ceintures de soutien si conseillé,Éviter les activités intenses
Vulvodynie,Porter des vêtements amples en coton,Éviter les produits parfumés,Utiliser les crèmes prescrites,Gérer son niveau de stress
Commotion cérébrale,Se reposer et éviter les écrans,Éviter l'activité physique,Surveiller les symptômes,Consulter un neurologue
Hypoglycémie,Prendre de petits repas fréquents,Avoir des tablettes de glucose sur soi,Éviter de sauter des repas,Surveiller sa glycémie
Hernie hiatale,Prendre de petits repas fréquents,Éviter de s'allonger après avoir mangé,Éviter les aliments épicés,Maintenir un poids santé
Allergie,Appliquer de la calamine,Couvrir la zone avec un bandage,Utiliser de la glace pour calmer les démangeaisons,Éviter les allergènes connus
Bronchospasme aigu,Éviter l'air froid,Utiliser un inhalateur bronchodilatateur,Éviter les allergènes,Surveiller sa respiration
Discopathie dégénérative,Maintenir un poids santé,Éviter de soulever des objets lourds,Faire des exercices pour le dos,Utiliser un soutien lombaire
Douleur postopératoire,Prendre les analgésiques prescrits,Éviter les efforts physiques,Garder la zone chirurgicale propre,Assister aux rendez-vous de suivi
Blessure à la jambe,Surélever la jambe,Appliquer des poches de glace,Éviter de poser du poids,Utiliser des béquilles si conseillé
Goutte,Éviter les aliments riches en purines,Rester hydraté,Limiter la consommation d'alcool,Prendre les médicaments prescrits
Otite moyenne,Éviter l'entrée d'eau dans les oreilles,Prendre les antibiotiques prescrits,Utiliser une compresse chaude,Consulter un ORL
Insuffisance rénale aiguë,Éviter les AINS,Rester hydraté,Surveiller ses apports en liquides,Suivre un plan alimentaire rénal
Menace de fausse couche,Prendre les médicaments prescrits,Éviter le stress et le port de charges lourdes,Faire des contrôles réguliers,Se reposer selon les recommandations
Gingivite (maladie des gencives),Maintenir une bonne hygiène bucco-dentaire,Passer le fil dentaire quotidiennement,Éviter de fumer,Visiter le dentiste régulièrement
Hémorragie gastro-intestinale,Éviter les AINS,Suivre un régime mou et fade,Limiter l'alcool,Consulter un spécialiste en gastro-entérologie
Anxiété,Pratiquer des techniques de relaxation,Éviter les stimulants comme la caféine,Maintenir un sommeil régulier,Consulter un conseiller si nécessaire
Conjonctivite allergique,Éviter de se frotter les yeux,Utiliser des gouttes antihistaminiques,Garder l'environnement propre,Éviter les allergènes connus
Réaction indésirable à un médicament,Arrêter le médicament immédiatement,Consulter un médecin,Utiliser des antihistaminiques si prescrits,Surveiller l'aggravation des symptômes
